Date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
2021-02-09,2,5,17,46,97,172,223,219,158,43
2021-02-16,3,6,23,69,108,158,208,191,140,32
2021-02-23,1,6,23,55,82,149,174,151,91,27
2021-03-01,2,5,25,53,76,144,156,139,89,23
2021-03-08,4,2,19,53,85,132,140,122,91,24
2021-03-14,5,3,19,51,78,123,139,110,79,17
2021-03-22,5,1,12,35,56,95,109,92,69,17
2021-03-29,3,0,13,24,53,84,99,75,63,15
2021-04-05,3,1,6,20,39,75,71,56,37,7
2021-04-15,3,0,5,9,24,51,38,41,30,5
